
> gameday-map@0.1.0 reprocess:cache
> node --import tsx scripts/reprocessCache.ts

atlanta-algeria.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
atlanta-argentina.json: 6 venues, 5 kept country tag, 1 stripped to no-flag
atlanta-australia.json: 2 venues, 2 kept country tag, 0 stripped to no-flag
atlanta-austria.json: 3 venues, 2 kept country tag, 1 stripped to no-flag
atlanta-belgium.json: 1 venues, 1 kept country tag, 0 stripped to no-flag
atlanta-bosnia-and-herzegovina.json: 3 venues, 3 kept country tag, 0 stripped to no-flag
atlanta-brazil.json: 10 venues, 10 kept country tag, 0 stripped to no-flag
atlanta-c-te-d-ivoire.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
atlanta-cabo-verde.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
atlanta-canada.json: 1 venues, 1 kept country tag, 0 stripped to no-flag
atlanta-colombia.json: 9 venues, 5 kept country tag, 4 stripped to no-flag
atlanta-congo-dr.json: 2 venues, 2 kept country tag, 0 stripped to no-flag
atlanta-croatia.json: 1 venues, 1 kept country tag, 0 stripped to no-flag
atlanta-cura-ao.json: 7 venues, 7 kept country tag, 0 stripped to no-flag
atlanta-czechia.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
atlanta-ecuador.json: 2 venues, 2 kept country tag, 0 stripped to no-flag
atlanta-egypt.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
atlanta-england.json: 2 venues, 2 kept country tag, 0 stripped to no-flag
atlanta-france.json: 10 venues, 7 kept country tag, 3 stripped to no-flag
atlanta-germany.json: 1 venues, 1 kept country tag, 0 stripped to no-flag
atlanta-ghana.json: 1 venues, 1 kept country tag, 0 stripped to no-flag
atlanta-haiti.json: 3 venues, 3 kept country tag, 0 stripped to no-flag
atlanta-ir-iran.json: 10 venues, 3 kept country tag, 7 stripped to no-flag
atlanta-iraq.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
atlanta-japan.json: 10 venues, 8 kept country tag, 2 stripped to no-flag
atlanta-jordan.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
atlanta-korea-republic.json: 10 venues, 9 kept country tag, 1 stripped to no-flag
atlanta-mexico.json: 10 venues, 8 kept country tag, 2 stripped to no-flag
atlanta-morocco.json: 2 venues, 2 kept country tag, 0 stripped to no-flag
atlanta-netherlands.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
atlanta-new-zealand.json: 1 venues, 1 kept country tag, 0 stripped to no-flag
atlanta-norway.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
atlanta-panama.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
atlanta-paraguay.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
atlanta-portugal.json: 6 venues, 6 kept country tag, 0 stripped to no-flag
atlanta-qatar.json: 1 venues, 1 kept country tag, 0 stripped to no-flag
atlanta-saudi-arabia.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
atlanta-scotland.json: 1 venues, 1 kept country tag, 0 stripped to no-flag
atlanta-senegal.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
atlanta-south-africa.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
atlanta-spain.json: 10 venues, 5 kept country tag, 5 stripped to no-flag
atlanta-sportsbars.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
atlanta-sweden.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
atlanta-switzerland.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
atlanta-t-rkiye.json: 6 venues, 4 kept country tag, 2 stripped to no-flag
atlanta-tunisia.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
atlanta-uruguay.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
atlanta-usa.json: 2 venues, 2 kept country tag, 0 stripped to no-flag
atlanta-uzbekistan.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
boston-algeria.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
boston-argentina.json: 1 venues, 1 kept country tag, 0 stripped to no-flag
boston-australia.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
boston-austria.json: 2 venues, 1 kept country tag, 1 stripped to no-flag
boston-belgium.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
boston-bosnia-and-herzegovina.json: 1 venues, 1 kept country tag, 0 stripped to no-flag
boston-brazil.json: 10 venues, 5 kept country tag, 5 stripped to no-flag
boston-c-te-d-ivoire.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
boston-cabo-verde.json: 1 venues, 1 kept country tag, 0 stripped to no-flag
boston-canada.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
boston-colombia.json: 10 venues, 2 kept country tag, 8 stripped to no-flag
boston-congo-dr.json: 2 venues, 2 kept country tag, 0 stripped to no-flag
boston-croatia.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
boston-cura-ao.json: 3 venues, 3 kept country tag, 0 stripped to no-flag
boston-czechia.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
boston-ecuador.json: 2 venues, 2 kept country tag, 0 stripped to no-flag
boston-egypt.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
boston-england.json: 3 venues, 1 kept country tag, 2 stripped to no-flag
boston-france.json: 10 venues, 4 kept country tag, 6 stripped to no-flag
boston-germany.json: 1 venues, 0 kept country tag, 1 stripped to no-flag
boston-ghana.json: 1 venues, 1 kept country tag, 0 stripped to no-flag
boston-haiti.json: 5 venues, 5 kept country tag, 0 stripped to no-flag
boston-ir-iran.json: 7 venues, 3 kept country tag, 4 stripped to no-flag
boston-iraq.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
boston-japan.json: 10 venues, 8 kept country tag, 2 stripped to no-flag
boston-jordan.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
boston-korea-republic.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
boston-mexico.json: 9 venues, 8 kept country tag, 1 stripped to no-flag
boston-morocco.json: 1 venues, 0 kept country tag, 1 stripped to no-flag
boston-netherlands.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
boston-new-zealand.json: 1 venues, 1 kept country tag, 0 stripped to no-flag
boston-norway.json: 3 venues, 3 kept country tag, 0 stripped to no-flag
boston-panama.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
boston-paraguay.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
boston-portugal.json: 9 venues, 6 kept country tag, 3 stripped to no-flag
boston-qatar.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
boston-saudi-arabia.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
boston-scotland.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
boston-senegal.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
boston-south-africa.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
boston-spain.json: 10 venues, 6 kept country tag, 4 stripped to no-flag
boston-sportsbars.json: 10 venues, 0 kept country tag, 10 stripped to no-flag
boston-sweden.json: 3 venues, 3 kept country tag, 0 stripped to no-flag
boston-switzerland.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
boston-t-rkiye.json: 7 venues, 4 kept country tag, 3 stripped to no-flag
boston-tunisia.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
boston-uruguay.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
boston-usa.json: 1 venues, 1 kept country tag, 0 stripped to no-flag
boston-uzbekistan.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
dallas-algeria.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
dallas-argentina.json: 3 venues, 3 kept country tag, 0 stripped to no-flag
dallas-australia.json: 2 venues, 2 kept country tag, 0 stripped to no-flag
dallas-austria.json: 1 venues, 1 kept country tag, 0 stripped to no-flag
dallas-belgium.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
dallas-bosnia-and-herzegovina.json: 1 venues, 1 kept country tag, 0 stripped to no-flag
dallas-brazil.json: 10 venues, 8 kept country tag, 2 stripped to no-flag
dallas-c-te-d-ivoire.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
dallas-cabo-verde.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
dallas-canada.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
dallas-colombia.json: 10 venues, 3 kept country tag, 7 stripped to no-flag
dallas-congo-dr.json: 7 venues, 7 kept country tag, 0 stripped to no-flag
dallas-croatia.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
dallas-cura-ao.json: 4 venues, 4 kept country tag, 0 stripped to no-flag
dallas-czechia.json: 2 venues, 2 kept country tag, 0 stripped to no-flag
dallas-ecuador.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
dallas-egypt.json: 1 venues, 1 kept country tag, 0 stripped to no-flag
dallas-england.json: 4 venues, 0 kept country tag, 4 stripped to no-flag
dallas-france.json: 10 venues, 7 kept country tag, 3 stripped to no-flag
dallas-germany.json: 2 venues, 2 kept country tag, 0 stripped to no-flag
dallas-ghana.json: 2 venues, 2 kept country tag, 0 stripped to no-flag
dallas-haiti.json: 6 venues, 6 kept country tag, 0 stripped to no-flag
dallas-ir-iran.json: 7 venues, 3 kept country tag, 4 stripped to no-flag
dallas-iraq.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
dallas-japan.json: 10 venues, 10 kept country tag, 0 stripped to no-flag
dallas-jordan.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
dallas-korea-republic.json: 10 venues, 6 kept country tag, 4 stripped to no-flag
dallas-mexico.json: 9 venues, 7 kept country tag, 2 stripped to no-flag
dallas-morocco.json: 1 venues, 0 kept country tag, 1 stripped to no-flag
dallas-netherlands.json: 0 venues, 0 kept country tag, 0 stripped to no-flag
