slug,name,address,borough,neighborhood,lat,lng,likelySupporterCountry,venueTypes,venueIntent,showsSoccer,rating,gameDayScore,approximateCapacity,reservationType,reservationUrl,reservationPhone,website,notes
mexico-casa-enrique,"Casa Enrique","5-48 49th Ave, Long Island City, NY 11101",Queens,"Long Island City",40.7396,-73.9545,mexico,"restaurant",cultural_dining,false,4.7,7.4,72,opentable,,,"https://www.casaenriquenyc.com","Michelin-starred Mexican restaurant in Long Island City with a loyal following for mole, chiles, and polished regional cooking."
mexico-la-contenta-oeste,"La Contenta Oeste","78 W 11th St, New York, NY 10011",Manhattan,"Greenwich Village",40.7339,-73.9972,mexico,"restaurant|bar",both,true,4.6,8.3,95,resy,"https://resy.com/cities/ny/la-contenta-oeste",,"https://lacontentanyc.com/","Vibrant Mexican restaurant and bar with a lively late-night room and a strong brunch and happy-hour crowd."
mexico-ofrenda,"Ofrenda","113 7th Ave S, New York, NY 10014",Manhattan,"Greenwich Village",40.7365,-74.0004,mexico,"restaurant|lounge",both,true,4.5,8.0,80,resy,"https://www.resy.com/cities/ny/ofrenda",,"https://ofrendanyc.com","Mexican cantina with a high-energy bar, strong happy hour, and a crowd that can swing from dinner to match night."
mexico-tortilleria-mexicana-los-hermanos,"Tortilleria Mexicana Los Hermanos","271 Starr St, Brooklyn, NY 11237",Brooklyn,"Bushwick",40.7066,-73.9219,mexico,"restaurant|bakery",cultural_dining,false,4.4,7.1,40,none,,,"https://tortilleriamexicanaloshermanos.cfd","Beloved tortilla factory and no-frills Mexican stop for fresh tacos, quesadillas, and neighborhood authenticity."
argentina-buenos-aires,"Buenos Aires","513 E 6th St, New York, NY 10009",Manhattan,"East Village",40.7264,-73.9833,argentina,"restaurant",cultural_dining,false,4.6,7.6,84,phone,, "212-228-2775","https://buenosairesnyc.com","Long-running East Village Argentine restaurant with grilled meats, empanadas, and a deeply local following."
argentina-balvanera,"Balvanera","152 Stanton St, New York, NY 10002",Manhattan,"Lower East Side",40.7204,-73.9853,argentina,"restaurant|bar",cultural_dining,false,4.5,7.5,88,opentable,,,"https://www.balvanerarestaurants.com/location/balvanera/","Elegant Argentine brasserie in the Lower East Side with wine, steaks, and a polished dining room."
argentina-el-gauchito-elmhurst,"El Gauchito Restaurant","94-60 Corona Ave, Elmhurst, NY 11373",Queens,"Elmhurst",40.7424,-73.8764,argentina,"restaurant|cultural_center",cultural_dining,false,4.6,7.0,90,phone,, "+1(718)271-8198","https://www.elgauchitonyc.com/","Family-run Argentine grill and butcher shop with a neighborhood reputation for parrillada and classic cuts."
argentina-el-gauchito-horace-harding,"El Gauchito Bar & Grill","158-15 Horace Harding Expy, Queens, NY 11365",Queens,"Fresh Meadows",40.7386,-73.8096,argentina,"restaurant|bar",both,true,4.4,7.8,110,phone,, "+1(718)661-4262","https://www.elgauchitonyc.com/","Argentine bar and grill with a big-screen feel, robust wine list, and room for families or friend groups."
brazil-churrascaria-plataforma,"Churrascaria Plataforma","316 W 49th St, New York, NY 10019",Manhattan,"Midtown",40.7625,-73.9867,brazil,"restaurant|lounge",cultural_dining,false,4.5,7.8,220,opentable,,,"https://plataformaonline.com","Classic Brazilian churrascaria with a festive, large-format dining room and abundant meat service."
brazil-ipanema-restaurant,"Ipanema Restaurant","3 W 36th St, New York, NY 10018",Manhattan,"Midtown",40.7513,-73.9857,brazil,"restaurant|bar",both,true,4.4,8.0,98,resy,,,"https://www.ipanema.co/","Long-running Brazilian and Portuguese restaurant with a lounge feel and a history in Little Brazil."
